BJD,RV,eRV
59397.64267499978,-23.290480994083612,0.0021458383964393
59403.647097200155,-23.292125557479164,0.00221571115344404
59408.61682320014,-23.293933623992555,0.0021519362764250713
59412.629282100126,-23.29134659370688,0.002081228486762964
59420.60012269998,-23.293718054199708,0.0021417367672328254
59425.66288019996,-23.30405301036821,0.002236205886431537
59430.654212600086,-23.28968928174525,0.0017688107443666304
59446.684781299904,-23.28855896541092,0.001975419712709047
59455.644156400114,-23.295624341977987,0.0018982235314658983
59460.694884200115,-23.297414805950652,0.002026704163577398
